text_id,content_text,author_type,model_source,prompt_complexity_score,perplexity_score,burstiness_index,syntactic_variability,semantic_coherence_score,lexical_diversity_ratio,readability_grade_level,generation_confidence_score
TXT_0025,data data learning system learning content analysis algorithm system,AI,GPT-4,0.941,66.94,0.25,0.313,0.188,0.856,11.4,0.033
TXT_0026,algorithm analysis detection language content content model system generation,Human,Gemini,0.486,97.84,0.417,0.178,0.5,0.31,15.9,0.268
TXT_0027,system language generation content learning language analysis model analysis language,Human,Claude,0.463,37.95,0.35,0.859,0.793,0.393,9.1,0.47
TXT_0028,network detection system content content data data data learning algorithm research algorithm,AI,Human,0.785,51.49,0.859,0.404,0.15,0.357,10.0,0.077
TXT_0029,algorithm learning detection analysis algorithm learning research algorithm,AI,Gemini,0.822,70.66,0.127,0.399,0.66,0.833,8.6,0.706
TXT_0030,data content data content pattern model model model research data pattern,Human,Gemini,0.554,58.74,0.566,0.17,0.324,0.044,7.0,0.394
TXT_0031,learning analysis learning analysis network learning algorithm algorithm,AI,GPT-4,0.18,85.91,0.142,0.383,0.341,0.308,6.6,0.273
TXT_0032,data analysis analysis language detection data research system research research research pattern data research,Human,Human,0.468,78.56,0.705,0.872,0.662,0.679,15.4,0.003
TXT_0033,detection model network analysis language analysis network language pattern data,Human,GPT-4,0.968,15.25,0.905,0.363,0.467,0.565,15.9,0.72
TXT_0034,data analysis analysis language language pattern network research data language content,AI,Human,0.753,99.86,0.435,0.952,0.812,0.436,5.5,0.834
TXT_0035,algorithm pattern analysis network data language analysis learning pattern network system analysis,AI,GPT-4,0.811,77.72,0.488,0.946,0.156,0.54,6.7,0.395
TXT_0036,model content generation research generation data algorithm algorithm model research,Human,Human,0.033,87.75,0.927,0.145,0.79,0.198,9.7,0.564
TXT_0037,model detection generation model generation analysis algorithm analysis content detection research system pattern generation,AI,Human,0.468,68.61,0.521,0.177,0.064,0.431,7.0,0.228
TXT_0038,generation data model content algorithm pattern language generation system content learning pattern learning analysis,AI,Human,0.647,87.07,0.488,0.863,0.194,0.502,9.0,0.622
TXT_0039,language data system language model model system research data content generation pattern research,Human,Claude,0.83,20.11,0.578,0.393,0.656,0.901,6.4,0.012
TXT_0040,generation research analysis learning generation research research detection language,Human,Gemini,0.049,41.3,0.689,0.004,0.855,0.261,10.0,0.489
TXT_0041,analysis algorithm network language language language network system learning research pattern learning,Human,Human,0.852,88.88,0.107,0.274,0.253,0.868,8.0,0.644
TXT_0042,data system algorithm learning pattern model language generation data analysis algorithm data language,Human,Claude,0.548,28.15,0.821,0.598,0.327,0.644,8.9,0.918
TXT_0043,system generation network generation network system content language network,Human,Claude,0.197,17.04,0.436,0.799,0.537,0.02,6.0,0.381
TXT_0044,generation generation analysis model research content algorithm pattern,Human,GPT-4,0.317,80.93,0.072,0.133,0.212,0.725,9.7,0.765
TXT_0045,analysis pattern system network research pattern system data language generation data network,AI,Gemini,0.282,85.19,0.786,0.111,0.811,0.036,15.8,0.598
TXT_0046,content pattern language network analysis learning network language generation generation network system learning,Human,Gemini,0.531,24.64,0.377,0.922,0.774,0.997,8.6,0.927
TXT_0047,network system generation generation research network learning model,AI,GPT-4,0.052,86.89,0.1,0.751,0.145,0.873,14.6,0.398
TXT_0048,generation generation data generation analysis algorithm network pattern learning algorithm system,AI,Gemini,0.159,71.81,0.634,0.59,0.464,0.297,14.3,0.319
TXT_0049,analysis language detection learning algorithm language model data language,Human,GPT-4,0.813,56.81,0.88,0.769,0.775,0.257,15.5,0.887
TXT_0050,analysis pattern data detection network language data analysis,AI,Claude,0.133,84.72,0.888,0.429,0.337,0.381,13.7,0.049
TXT_0051,algorithm generation detection language pattern pattern language model,Human,Claude,0.233,47.73,0.958,0.758,0.633,0.356,12.3,0.136
TXT_0052,data model data system analysis generation algorithm pattern generation generation generation model,AI,Human,0.453,27.46,0.868,0.372,0.05,0.372,14.4,0.082
TXT_0053,content system learning generation network model pattern detection pattern algorithm,Human,GPT-4,0.517,35.64,0.002,0.244,0.609,0.318,5.8,0.843
TXT_0054,content network pattern content learning generation network content algorithm data analysis,Human,Claude,0.764,55.46,0.38,0.729,0.153,0.621,10.1,0.011
TXT_0055,learning model analysis system algorithm system network language analysis system,Human,Claude,0.447,57.82,0.819,0.42,0.831,0.164,15.9,0.862
TXT_0056,system content data content analysis analysis learning content research pattern detection data,Human,GPT-4,0.79,82.5,0.366,0.981,0.355,0.846,13.5,0.451
TXT_0057,learning language pattern content data language content system,AI,Claude,0.618,81.22,0.602,0.349,0.282,0.812,15.6,0.004
TXT_0058,learning data generation network network data language content learning detection network,AI,Gemini,0.113,62.32,0.606,0.922,0.841,0.476,13.6,0.402
TXT_0059,network system content system pattern network generation generation system generation network,AI,Claude,0.156,80.27,0.365,0.933,0.05,0.853,14.6,0.187
TXT_0060,system pattern detection detection model language content generation generation language,AI,GPT-4,0.437,27.26,0.904,0.242,0.397,0.247,12.8,0.624
TXT_0061,pattern research system pattern algorithm generation content model,AI,Gemini,0.397,14.51,0.503,0.798,0.37,0.018,13.4,0.679
TXT_0062,generation model network pattern network research data algorithm pattern analysis,Human,Gemini,0.744,88.63,0.465,0.433,0.285,0.619,10.8,0.488
TXT_0063,learning analysis system content pattern learning learning research language data pattern language research,Human,Claude,0.581,16.8,0.998,0.918,0.912,0.458,15.2,0.041
TXT_0064,detection generation generation data system data pattern pattern model language generation learning language algorithm,Human,Human,0.388,32.2,0.494,0.45,0.751,0.567,14.1,0.656
TXT_0065,content system analysis data pattern language content language analysis content algorithm analysis,Human,Gemini,0.171,72.58,0.178,0.744,0.064,0.899,14.3,0.842
TXT_0066,network research generation language pattern pattern pattern network research network detection language network,Human,GPT-4,0.227,46.85,0.513,0.467,0.715,0.97,12.4,0.72
TXT_0067,data data learning content model content analysis analysis network research research,AI,Human,0.576,88.87,0.814,0.228,0.527,0.634,8.4,0.83
TXT_0068,system content detection language generation algorithm research language algorithm language,Human,Human,0.423,36.82,0.777,0.199,0.901,0.764,5.4,0.201
TXT_0069,algorithm generation language learning generation algorithm generation language model language language network,Human,Gemini,0.515,11.07,0.789,0.425,0.313,0.084,15.3,0.889
TXT_0070,learning detection research analysis content analysis network learning,AI,Claude,0.171,37.06,0.708,0.755,0.574,0.161,11.4,0.322
TXT_0071,language pattern pattern data pattern research model data network content model generation,AI,Human,0.663,62.03,0.254,0.605,0.501,0.733,8.3,0.013
TXT_0072,model detection pattern network system algorithm analysis research analysis model analysis detection network,Human,Claude,0.853,43.83,0.862,0.689,0.49,0.431,6.6,0.843
TXT_0073,content research detection detection analysis pattern analysis model content,Human,Gemini,0.258,58.14,0.893,0.282,0.456,0.446,14.1,0.942
TXT_0074,analysis network system research language analysis network network research data,AI,GPT-4,0.492,88.89,0.194,0.481,0.206,0.309,14.2,0.656
TXT_0075,system network network network generation generation data analysis network content analysis data,Human,Human,0.976,92.12,0.13,0.044,0.756,0.607,14.0,0.231
TXT_0076,pattern learning analysis analysis algorithm model language algorithm system generation generation model,Human,GPT-4,0.333,33.94,0.976,0.818,0.451,0.185,12.1,0.252
TXT_0077,research data detection model language analysis research language network detection content analysis system,Human,Claude,0.595,51.59,0.868,0.99,0.959,0.627,9.0,0.467
TXT_0078,network network model detection data system research language model research model model model detection,AI,Claude,0.09,59.42,0.893,0.407,0.261,0.174,8.3,0.898
TXT_0079,model learning content research analysis algorithm language system generation data,Human,GPT-4,0.606,95.42,0.886,0.011,0.683,0.064,5.1,0.15
TXT_0080,network pattern learning generation algorithm analysis generation analysis,Human,Gemini,0.09,99.88,0.542,0.17,0.941,0.33,14.2,0.826
TXT_0081,learning algorithm network model research network model pattern detection detection detection,AI,Gemini,0.959,31.19,0.646,0.653,0.663,0.231,6.0,0.291
TXT_0082,content system system detection research algorithm learning algorithm learning algorithm,AI,Human,0.716,75.43,0.545,0.612,0.871,0.889,11.9,0.809
TXT_0083,data data detection pattern model pattern generation data,AI,Human,0.788,44.02,0.051,0.788,0.827,0.055,10.5,0.92
TXT_0084,network network model language generation pattern research network research analysis,Human,Gemini,0.704,10.73,0.746,0.254,0.36,0.177,10.8,0.427
TXT_0085,content language generation model analysis generation pattern detection content generation content content,AI,Gemini,0.59,10.83,0.505,0.764,0.6,0.549,15.2,0.365
TXT_0086,algorithm detection pattern analysis generation learning analysis algorithm analysis data pattern learning algorithm,Human,GPT-4,0.45,51.45,0.648,0.688,0.156,0.481,5.3,0.802
TXT_0087,generation language system algorithm model pattern generation detection algorithm data system data system,AI,Claude,0.858,53.95,0.503,0.323,0.536,0.046,13.5,0.529
TXT_0088,detection language pattern model generation research data data content system network language generation,Human,Claude,0.957,12.03,0.492,0.545,0.23,0.007,5.6,0.684
TXT_0089,content analysis system research generation language content analysis pattern learning content learning generation data,AI,Human,0.499,71.82,0.172,0.147,0.744,0.988,5.4,0.623
TXT_0090,pattern model learning research model algorithm algorithm analysis,Human,Gemini,0.932,36.46,0.279,0.453,0.528,0.659,9.7,0.153
TXT_0091,data generation content network research learning generation model detection algorithm detection,Human,GPT-4,0.583,60.39,0.159,0.881,0.411,0.365,5.7,0.845
TXT_0092,research network content analysis network research network research research system learning detection,AI,Human,0.538,37.08,0.196,0.421,0.269,0.47,13.7,0.196
TXT_0093,algorithm system content system data data algorithm network learning algorithm research model learning,AI,GPT-4,0.454,25.04,0.973,0.84,0.999,0.267,10.8,0.932
TXT_0094,detection learning research research analysis algorithm research data content model detection,Human,Gemini,0.209,46.65,0.153,0.59,0.072,0.345,5.3,0.251
TXT_0095,data pattern language network research generation research learning data,AI,Gemini,0.004,30.9,0.269,0.192,0.044,0.649,5.4,0.734
TXT_0096,analysis learning analysis language analysis generation research network detection learning pattern,Human,Gemini,0.242,58.13,0.591,0.581,0.217,0.883,11.7,0.285
TXT_0097,data analysis research model algorithm generation network system generation language,AI,Claude,0.51,27.89,0.61,0.506,0.971,0.184,13.9,0.318
TXT_0098,pattern algorithm model learning analysis network content analysis content,AI,Gemini,0.38,55.76,0.154,0.399,0.979,0.84,9.8,0.31
TXT_0099,algorithm research system data analysis network language language model network,Human,Human,0.448,24.16,0.794,0.12,0.655,0.122,11.1,0.748
TXT_0100,content model language data data analysis algorithm research language pattern,AI,Claude,0.981,70.39,0.785,0.417,0.88,0.215,13.8,0.557
TXT_0101,content network language data network network network data detection generation,AI,GPT-4,0.35,77.85,0.237,0.073,0.214,0.037,11.7,0.883
TXT_0102,learning content pattern generation content model algorithm algorithm system algorithm data pattern research,Human,Human,0.452,19.94,0.289,0.099,0.972,0.141,7.5,0.307
TXT_0103,system analysis content analysis analysis system model network,Human,Human,0.134,52.1,0.938,0.416,0.143,0.917,11.7,0.692
TXT_0104,system data research research data system data algorithm generation learning,AI,GPT-4,0.048,16.38,0.826,0.305,0.101,0.459,11.9,0.753
TXT_0105,pattern analysis learning system detection learning pattern research content analysis pattern network detection system,Human,Claude,0.775,63.84,0.698,0.926,0.112,0.078,13.1,0.151
TXT_0106,learning research model generation network detection generation analysis,AI,Human,0.571,33.8,0.082,0.376,0.573,0.96,11.8,0.401
TXT_0107,research pattern learning pattern algorithm learning algorithm pattern algorithm network pattern learning language,AI,Human,0.761,57.49,0.418,0.758,0.781,0.879,15.7,0.483
TXT_0108,model detection data data learning learning generation detection detection network learning detection,Human,Human,0.15,56.57,0.559,0.53,0.367,0.755,7.2,0.356
TXT_0109,generation algorithm research research algorithm system generation detection language generation pattern algorithm model,Human,Claude,0.572,93.19,0.187,0.704,0.978,0.933,15.5,0.322
TXT_0110,analysis algorithm language detection language language learning learning,Human,Claude,0.254,59.42,0.448,0.26,0.434,0.22,10.9,0.686
TXT_0111,algorithm network algorithm generation analysis language generation content research data pattern algorithm,Human,Claude,0.228,62.47,0.601,0.942,0.15,0.836,12.4,0.216
TXT_0112,research detection system analysis network network generation learning,Human,Human,0.012,46.15,0.327,0.53,0.466,0.69,6.1,0.709
TXT_0113,system content analysis research system data algorithm network content network content generation learning,Human,Gemini,0.13,95.42,0.781,0.831,0.679,0.87,9.2,0.935
TXT_0114,network generation content data learning content generation detection,AI,GPT-4,0.309,79.95,0.84,0.365,0.832,0.797,13.5,0.565
TXT_0115,model system model detection model detection analysis detection detection language detection data research,AI,Gemini,0.117,35.69,0.324,0.1,0.459,0.346,12.8,0.611
TXT_0116,system learning research network algorithm analysis analysis pattern,Human,Claude,0.986,85.98,0.839,0.674,0.594,0.774,5.4,0.069
TXT_0117,detection research generation language model network analysis system analysis learning content analysis learning research,AI,Human,0.309,48.92,0.104,0.008,0.267,0.262,11.0,0.864
TXT_0118,language pattern algorithm analysis system analysis pattern system data detection algorithm data pattern,AI,Human,0.13,84.58,0.838,0.475,0.646,0.329,6.0,0.285
TXT_0119,pattern pattern algorithm data model analysis data model,AI,Gemini,0.199,84.06,0.153,0.193,0.986,0.108,16.0,0.615
TXT_0120,research language analysis model research data learning analysis algorithm,AI,Gemini,0.588,27.0,0.083,0.627,0.049,0.935,14.9,0.979
TXT_0121,system system data generation generation data model language analysis system system language,Human,GPT-4,0.064,73.1,0.642,0.979,0.887,0.291,5.2,0.596
TXT_0122,system pattern algorithm analysis content system data algorithm system,AI,Human,0.862,36.16,0.472,0.464,0.562,0.521,14.4,0.725
TXT_0123,pattern algorithm research content network data data analysis language algorithm,AI,Gemini,0.961,36.77,0.908,0.817,0.252,0.391,15.1,0.445
TXT_0124,data algorithm algorithm detection learning learning network research network,Human,GPT-4,0.247,36.67,0.363,0.508,0.955,0.96,8.9,0.06
TXT_0125,system model system generation system analysis system network data pattern data learning pattern,Human,Claude,0.45,75.3,0.287,0.496,0.483,0.335,12.9,0.798
TXT_0126,model model analysis network learning detection generation model data system system,Human,Gemini,0.022,30.68,0.501,0.93,0.332,0.779,9.9,0.035
TXT_0127,learning network network research content model network language data learning generation,Human,Claude,0.641,10.08,0.456,0.89,0.181,0.855,12.2,0.701
TXT_0128,language algorithm analysis generation algorithm detection system analysis model data analysis content algorithm,AI,GPT-4,0.414,74.37,0.344,0.786,0.244,0.436,8.7,0.023
TXT_0129,pattern content system content research research detection learning generation,Human,Claude,0.27,25.41,0.694,0.296,0.833,0.378,8.5,0.862
TXT_0130,pattern pattern model system network detection research model network,AI,Human,0.207,19.4,0.76,0.545,0.614,0.748,9.7,0.158
TXT_0131,learning content research model analysis network content research generation,AI,Human,0.654,31.38,0.853,0.224,0.913,0.913,6.6,0.514
TXT_0132,system network generation research network detection content research detection algorithm model,Human,Claude,0.416,44.19,0.973,0.444,0.232,0.755,14.1,0.597
TXT_0133,pattern content network system generation pattern analysis generation network language generation,Human,Human,0.18,52.83,0.267,0.484,0.121,0.227,8.8,0.458
TXT_0134,model language research detection analysis data network learning data generation pattern network detection,Human,GPT-4,0.689,14.01,0.716,0.832,0.006,0.888,9.4,0.341
TXT_0135,learning analysis detection system algorithm data research model system algorithm,Human,Human,0.565,97.35,0.394,0.896,0.508,0.388,14.8,0.468
TXT_0136,research network algorithm analysis generation learning learning data data learning detection analysis detection,Human,Claude,0.859,74.45,0.677,0.415,0.998,0.576,10.5,0.311
TXT_0137,detection model content generation model network content content algorithm analysis analysis content,Human,Claude,0.117,39.09,0.476,0.018,0.695,0.831,11.0,0.438
TXT_0138,detection algorithm generation content system data data model network language language data,AI,Claude,0.786,38.68,0.994,0.862,0.308,0.188,15.5,0.359
TXT_0139,research model language data network language detection detection analysis pattern analysis generation content,AI,Gemini,0.674,50.37,0.729,0.174,0.877,0.785,14.8,0.566
TXT_0140,analysis language algorithm data algorithm network analysis system network research research algorithm content model,AI,Claude,0.115,66.36,0.952,0.622,0.782,0.596,6.9,0.238
TXT_0141,language detection generation content pattern generation generation system,AI,GPT-4,0.695,23.17,0.835,0.025,0.015,0.893,10.2,0.989
TXT_0142,system generation network research generation system network system,Human,Human,0.442,27.0,0.903,0.4,0.817,0.172,15.7,0.501
TXT_0143,data algorithm model detection system pattern model learning,Human,Human,0.945,87.35,0.814,0.986,0.301,0.421,9.1,0.194
TXT_0144,data model detection generation system analysis algorithm data language language pattern model data network,AI,Gemini,0.142,33.06,0.459,0.101,0.15,0.833,9.1,0.477
TXT_0145,algorithm generation system system language system algorithm analysis learning pattern,AI,Gemini,0.643,44.22,0.252,0.424,0.226,0.019,7.1,0.866
TXT_0146,content pattern model analysis pattern generation language model system data generation model detection,AI,GPT-4,0.382,88.41,0.37,0.307,0.469,0.112,6.3,0.022
TXT_0147,pattern pattern model data detection system learning pattern analysis pattern network language content algorithm,Human,Claude,0.957,69.68,0.02,0.905,0.425,0.991,13.1,0.68
TXT_0148,content generation content system learning network analysis analysis data pattern algorithm,Human,Gemini,0.33,40.75,0.524,0.869,0.289,0.28,13.5,0.548
TXT_0149,model learning model network content analysis network content analysis content algorithm learning language,Human,Human,0.962,71.53,0.505,0.238,0.172,0.976,15.7,0.17
TXT_0150,generation network pattern network detection language research system algorithm algorithm,AI,Gemini,0.901,11.77,0.525,0.081,0.762,0.183,13.5,0.817
TXT_0151,pattern model content system learning learning detection algorithm learning pattern,AI,Gemini,0.27,76.21,0.974,0.627,0.99,0.361,7.7,0.369
TXT_0152,research network data pattern generation detection model content generation content analysis generation data algorithm,Human,Claude,0.804,53.83,0.911,0.336,0.778,0.753,5.4,0.294
TXT_0153,network network research system analysis content data learning generation analysis pattern detection generation,Human,Gemini,0.996,83.19,0.162,0.672,0.296,0.658,15.8,0.828
TXT_0154,model model analysis algorithm data data research pattern algorithm pattern,AI,GPT-4,0.253,95.92,0.369,0.032,0.245,0.581,8.7,0.639
TXT_0155,content content learning network model detection content algorithm data detection language pattern content data,AI,Human,0.437,93.32,0.424,0.133,0.218,0.53,8.4,0.898
TXT_0156,model language generation content algorithm content network detection,Human,Claude,0.52,91.83,0.361,0.686,0.137,0.843,15.0,0.63
TXT_0157,model algorithm language research algorithm detection network generation model research,AI,Human,0.295,56.1,0.798,0.212,0.551,0.235,11.4,0.741
TXT_0158,language pattern language network pattern analysis model algorithm pattern pattern data generation,Human,GPT-4,0.015,42.41,0.524,0.858,0.605,0.442,7.4,0.836
TXT_0159,algorithm algorithm model algorithm detection pattern pattern analysis research algorithm,Human,GPT-4,0.22,51.85,0.572,0.059,0.706,0.155,14.8,0.055
TXT_0160,algorithm language analysis detection detection content pattern detection pattern content,AI,Gemini,0.282,72.09,0.853,0.215,0.68,0.596,15.9,0.776
TXT_0161,generation learning detection research language system network detection pattern generation content data,AI,Gemini,0.444,89.56,0.806,0.999,0.292,0.251,6.0,0.614
TXT_0162,system generation generation detection network system model learning model pattern pattern language system model,AI,Gemini,0.171,28.63,0.132,0.433,0.33,0.334,14.5,0.07
TXT_0163,detection analysis content analysis algorithm model language algorithm pattern data research data,Human,Human,0.873,92.64,0.714,0.703,0.682,0.471,9.3,0.509
TXT_0164,system generation content model language language network pattern research learning learning learning model,AI,GPT-4,0.705,83.37,0.435,0.183,0.349,0.027,10.8,0.082
TXT_0165,detection analysis language research analysis generation research analysis research generation algorithm,AI,Claude,0.085,98.1,0.295,0.61,0.213,0.092,15.1,0.736
TXT_0166,model model pattern language learning detection data learning pattern language,Human,Gemini,0.65,89.22,0.05,0.726,0.374,0.686,15.7,0.547
TXT_0167,pattern detection analysis research data detection generation system generation model model pattern learning analysis,Human,Human,0.654,35.19,0.487,0.314,0.272,0.429,7.9,0.954
TXT_0168,pattern content system system pattern pattern detection learning model learning,AI,Gemini,0.956,19.54,0.355,0.829,0.088,0.865,7.3,0.183
TXT_0169,detection detection data analysis language algorithm language pattern network network detection learning research,Human,GPT-4,0.003,20.1,0.252,0.603,0.83,0.695,5.9,0.606
TXT_0170,content network data detection analysis generation language research model pattern,Human,Claude,0.248,36.21,0.695,0.389,0.853,0.008,11.2,0.212
TXT_0171,analysis content algorithm language model language detection algorithm language content,Human,GPT-4,0.928,65.28,0.769,0.558,0.22,0.617,5.1,0.614
TXT_0172,pattern network algorithm detection model learning system data,AI,Human,0.932,82.39,0.245,0.577,0.065,0.094,9.5,0.723
TXT_0173,language network algorithm language generation data learning content system analysis language learning,AI,Gemini,0.721,90.93,0.049,0.166,0.739,0.781,5.8,0.722
TXT_0174,content research content language research research network network model algorithm algorithm,Human,GPT-4,0.766,66.14,0.849,0.403,0.212,0.992,9.5,0.815
TXT_0175,pattern analysis algorithm network model model research detection pattern content,Human,Human,0.091,10.51,0.01,0.343,0.393,0.531,5.4,0.854
TXT_0176,language research content algorithm detection research data algorithm,Human,Gemini,0.514,26.77,0.937,0.401,0.064,0.683,14.2,0.077
TXT_0177,analysis language content research research language learning analysis,AI,Claude,0.232,18.98,0.628,0.761,0.226,0.237,7.3,0.343
TXT_0178,algorithm model language analysis model analysis analysis content pattern,Human,GPT-4,0.181,42.7,0.322,0.483,0.793,0.438,8.6,0.687
TXT_0179,analysis pattern learning generation research system model research system generation generation model model,Human,Gemini,0.81,55.12,0.246,0.94,0.804,0.856,14.6,0.499
TXT_0180,system language analysis algorithm detection pattern data detection research,AI,Gemini,0.135,13.91,0.009,0.294,0.207,0.167,13.2,0.191
TXT_0181,research content system content model language algorithm algorithm,Human,Gemini,0.469,41.36,0.235,0.416,0.336,0.266,7.4,0.553
TXT_0182,language learning detection system detection learning learning research generation,AI,Gemini,0.939,26.13,0.138,0.787,0.134,0.445,5.8,0.407
TXT_0183,generation data content language generation detection model research language system language pattern content,AI,GPT-4,0.186,68.24,0.612,0.546,0.074,0.712,12.9,0.39
TXT_0184,data generation data system learning pattern algorithm pattern system network system data,AI,Gemini,0.978,51.78,0.167,0.547,0.992,0.376,9.3,0.81
TXT_0185,model research model data research network algorithm content detection data language,Human,Human,0.994,54.58,0.529,0.053,0.656,0.928,13.4,0.408
TXT_0186,data data pattern pattern research analysis system language analysis,Human,GPT-4,0.556,48.49,0.59,0.399,0.542,0.094,9.9,0.026
TXT_0187,network generation pattern algorithm learning network learning language language learning language algorithm model,AI,Gemini,0.17,96.04,0.298,0.271,0.765,0.371,8.8,0.058
TXT_0188,data content learning generation network model learning model,Human,GPT-4,0.316,29.33,0.035,0.999,0.84,0.709,10.0,0.856
TXT_0189,model learning research system generation data data generation research pattern language data pattern model,AI,Human,0.424,56.5,0.037,0.308,0.807,0.226,13.2,0.961
TXT_0190,analysis data generation algorithm learning system generation language model system network network,Human,Human,0.309,76.24,0.026,0.884,0.017,0.656,14.9,0.688
TXT_0191,pattern content research language pattern algorithm system content learning model system research analysis,AI,GPT-4,0.281,60.12,0.739,0.676,0.187,0.164,5.5,0.364
TXT_0192,content content language model data network network analysis algorithm language,AI,Gemini,0.972,93.61,0.318,0.341,0.655,0.056,10.8,0.939
TXT_0193,pattern system detection generation data research generation pattern generation language content,Human,Gemini,0.153,44.02,0.796,0.544,0.376,0.121,5.4,0.663
TXT_0194,network learning algorithm detection language analysis content research,Human,Human,0.733,51.73,0.432,0.841,0.982,0.93,10.2,0.844
TXT_0195,language content detection network network language network analysis analysis algorithm language,Human,Gemini,0.0,17.97,0.453,0.883,0.665,0.552,14.7,0.766
TXT_0196,research language detection pattern learning model model content network learning generation,Human,Human,0.596,64.81,0.513,0.16,0.957,0.796,9.0,0.379
TXT_0197,analysis system data research network network detection network analysis analysis data language,AI,Gemini,0.916,35.94,0.713,0.34,0.201,0.333,15.3,0.479
TXT_0198,learning network model algorithm detection detection model content model,AI,Human,0.288,24.43,0.274,0.335,0.864,0.593,11.9,0.186
TXT_0199,content system algorithm detection model system language research learning system pattern learning,Human,Claude,0.186,59.01,0.122,0.042,0.321,0.495,15.3,0.292
TXT_0200,generation language system algorithm model network analysis system algorithm,Human,Gemini,0.652,57.91,0.556,0.598,0.99,0.946,13.3,0.778
TXT_0201,research network research model analysis system system generation detection generation model model,AI,Gemini,0.713,16.83,0.327,0.855,0.158,0.748,6.1,0.894
TXT_0202,generation algorithm algorithm analysis language detection algorithm content,Human,Gemini,0.688,72.84,0.442,0.382,0.516,0.731,7.5,0.724
TXT_0203,learning analysis analysis data network network content generation language model model research content,Human,GPT-4,0.319,66.14,0.647,0.74,0.793,0.046,9.3,0.465
TXT_0204,content content pattern content network pattern content detection,Human,Gemini,0.252,27.01,0.494,0.628,0.433,0.55,6.9,0.087
TXT_0205,model pattern research learning research data research model model pattern content,Human,GPT-4,0.956,52.25,0.62,0.376,0.468,0.467,10.4,0.057
TXT_0206,data pattern detection analysis algorithm research system content network analysis language generation system network,AI,GPT-4,0.923,74.83,0.544,0.141,0.986,0.928,10.2,0.374
